MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
RuPaul's Drag Race All Stars,(2012– ),"
Game-Show, Reality-TV            ",8.5,"
New show will serve up a new twist on the mega-hit RuPaul's Drag Race as it pits queens from previous seasons in a wig-to-wig drag battle royale.","
            
    Stars:
RuPaul, 
Michelle Visage, 
Carson Kressley, 
Ross Mathews
",6644,60,
Sophie: A Murder in West Cork,-2021,"
Documentary, Crime, History            ",6.9,"
The documentary follows the investigation of Sophie Toscan Du Plantier, a French film and TV producer who was killed while at her isolated holiday cottage in West Cork, Ireland, in 1996.","
            
    Stars:
Ian Bailey, 
Barry Roche, 
Eugene Gilligan, 
Bertrand Bouniol
",3235,164,
Knock Knock,(I) (2015),"
Drama, Thriller            ",4.9,"
A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","
    Director:
Eli Roth
| 
    Stars:
Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns
",87474,99,$0.04M
Madam Secretary,(2014–2019),"
Drama            ",7.6,"
A political drama which looks into the life of the Secretary of State as she tries to balance work with family.","
            
    Stars:
Téa Leoni, 
Tim Daly, 
Erich Bergen, 
Zeljko Ivanek
",20755,45,
Hauru no ugoku shiro,-2004,"
Animation, Adventure, Family            ",8.2,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
",351466,119,$4.71M
The Alienist,(2018–2020),"
Crime, Drama, Mystery            ",7.7,"
Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.","
            
    Stars:
Daniel Brühl, 
Dakota Fanning, 
Luke Evans, 
Robert Wisdom
",48646,60,
Now You See Me,(I) (2013),"
Crime, Mystery, Thriller            ",7.2,"
An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.","
    Director:
Louis Leterrier
| 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
",614056,115,$117.72M
Hell's Kitchen,(2005– ),"
Game-Show, Reality-TV            ",7.1,"
World renowned chef Gordon Ramsay puts aspiring young chefs through rigorous cooking challenges and dinner services at his restaurant in Hollywood, ""Hell's Kitchen"".","
            
    Stars:
Gordon Ramsay, 
Jean Philippe Susilovic, 
Scott Leibfried, 
Jason Thompson
",19419,42,
The Ballad of Buster Scruggs,-2018,"
Comedy, Drama, Musical            ",7.3,"
Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","
    Directors:
Ethan Coen, 
Joel Coen
| 
    Stars:
Tim Blake Nelson, 
Willie Watson, 
Clancy Brown, 
Danny McCarthy
",130664,133,
The Lost World: Jurassic Park,-1997,"
Action, Adventure, Sci-Fi            ",6.6,"
A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","
    Director:
Steven Spielberg
| 
    Stars:
Jeff Goldblum, 
Julianne Moore, 
Pete Postlethwaite, 
Vince Vaughn
",390425,129,$229.09M
The Politician,(2019– ),"
Comedy, Drama            ",7.5,"
Payton Hobart, a student from Santa Barbara, has known since age seven that he's going to be President of the United States. But first he'll have to navigate the most treacherous political landscape of all: Saint Sebastian High School.","
            
    Stars:
Ben Platt, 
Zoey Deutch, 
Lucy Boynton, 
Julia Schlaepfer
",19735,42,
Marco Polo,(2014–2016),"
Adventure, Drama, History            ",8,"
In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.","
            
    Stars:
Lorenzo Richelmy, 
Benedict Wong, 
Joan Chen, 
Remy Hii
",67083,60,
Tattoo Redo,(2021– ),"
Reality-TV            ",5.6,"
Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.","
            
    Stars:
Matt Beckerich, 
Rose Hardy, 
Miryam Lumpini, 
Tommy Montoya
",232,,
Shameless,(2004–2013),"
Comedy, Crime, Drama            ",8,"
The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.","
            
    Stars:
David Threlfall, 
Rebecca Atkinson, 
Alice Barry, 
Nicky Evans
",15630,90,
Top Gear,(2002– ),"
Adventure, Comedy, Reality-TV            ",8.6,"
The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","
            
    Stars:
Jeremy Clarkson, 
Richard Hammond, 
James May, 
The Stig
",111345,60,
Vanquish,-2021,"
Action, Crime, Thriller            ",2.7,"
A mother, Victoria, is trying to put her dark past as a Russian drug courier behind her, but retired cop Damon forces Victoria to do his bidding by holding her daughter hostage.","
    Director:
George Gallo
| 
    Stars:
Morgan Freeman, 
Ruby Rose, 
Patrick Muldoon, 
Nick Vallelonga
",3010,94,
Sweet Magnolias,(2020– ),"
Drama, Romance            ",7.4,"
Three South Carolina women, best friends since high school, shepherd one another through the complexities of romance, career, and family.","
            
    Stars:
JoAnna Garcia Swisher, 
Brooke Elliott, 
Heather Headley, 
Anneliese Judge
",10096,,
Geostorm,-2017,"
Action, Sci-Fi, Thriller            ",5.3,"
When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","
    Director:
Dean Devlin
| 
    Stars:
Gerard Butler, 
Jim Sturgess, 
Abbie Cornish, 
Alexandra Maria Lara
",99724,109,$33.70M
The Bureau of Magical Things,(2018– ),"
Family, Fantasy, Mystery            ",6.8,"
Teenage girl Kyra accidentally discovers an extraordinary world and gains magical powers; when an unexpected threat emerges, she must unite fairies, elves and humans to save them all.","
            
    Stars:
Kimie Tsukakoshi, 
Elizabeth Cullen, 
Mia Milnes, 
Julian Cullen
",1349,25,
Rojst,(2018– ),"
Crime, Drama, Thriller            ",7,"
In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious.","
            
    Stars:
Dawid Ogrodnik, 
Zofia Wichlacz, 
Andrzej Seweryn, 
Agnieszka Zulewska
",3471,50,
Sausage Party,-2016,"
Animation, Adventure, Comedy            ",6.1,"
A sausage strives to discover the truth about his existence.","
    Directors:
Greg Tiernan, 
Conrad Vernon
| 
    Stars:
Seth Rogen, 
Kristen Wiig, 
Jonah Hill, 
Alistair Abell
",181775,89,$97.69M
A Futile and Stupid Gesture,-2018,"
Biography, Comedy            ",6.8,"
In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney.","
    Director:
David Wain
| 
    Stars:
Frank Gingerich, 
Morgan Gingerich, 
Annette O'Toole, 
Harry Groener
",14676,101,
Eurovision Song Contest: The Story of Fire Saga,-2020,"
Comedy, Music            ",6.5,"
When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","
    Director:
David Dobkin
| 
    Stars:
Will Ferrell, 
Rachel McAdams, 
Dan Stevens, 
Mikael Persbrandt
",84242,123,
Russian Doll,(2019– ),"
Adventure, Comedy, Drama            ",7.9,"
A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.","
            
    Stars:
Natasha Lyonne, 
Charlie Barnett, 
Sharlto Copley, 
Annie Murphy
",72588,30,
Sa-rang-eui bul-sa-chak,(2019–2020),"
Adventure, Comedy, Romance            ",8.7,"
The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.","
            
    Stars:
Hyun Bin, 
Son Ye-jin, 
Seo Ji-hye, 
Kim Jung-hyun
",16879,70,
The Next Three Days,-2010,"
Action, Crime, Drama            ",7.3,"
A married couple's life is turned upside down when the wife is accused of a murder.","
    Director:
Paul Haggis
| 
    Stars:
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
",189815,133,$21.15M
Maniac,-2018,"
Comedy, Drama, Sci-Fi            ",7.8,"
Two strangers are drawn to a mysterious pharmaceutical trial for a drug that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems permanently. Things do not go as planned.","
            
    Stars:
Jonah Hill, 
Emma Stone, 
Sonoya Mizuno, 
Justin Theroux
",69384,386,
Moonlight,(I) (2016),"
Drama            ",7.4,"
A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","
    Director:
Barry Jenkins
| 
    Stars:
Mahershala Ali, 
Naomie Harris, 
Trevante Rhodes, 
Alex R. Hibbert
",285273,111,$27.85M
In the Heart of the Sea,-2015,"
Action, Adventure, Biography            ",6.9,"
A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.","
    Director:
Ron Howard
| 
    Stars:
Chris Hemsworth, 
Cillian Murphy, 
Brendan Gleeson, 
Ben Whishaw
",128605,122,$25.02M
The Babysitter: Killer Queen,-2020,"
Comedy, Horror            ",5.8,"
Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.","
    Director:
McG
| 
    Stars:
Judah Lewis, 
Samara Weaving, 
Jenna Ortega, 
Emily Alyn Lind
",31220,101,
Final Space,(2018– ),"
Animation, Action, Adventure            ",8.3,"
An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.","
            
    Stars:
Fred Armisen, 
Tom Kenny, 
Olan Rogers, 
Tika Sumpter
",36443,30,
Into the Badlands,(2015–2019),"
Action, Adventure, Drama            ",8,"
A mighty warrior and a young boy search for enlightenment in a ruthless territory controlled by feudal barons.","
            
    Stars:
Daniel Wu, 
Orla Brady, 
Emily Beecham, 
Aramis Knight
",43147,42,
Firefly Lane,(2021– ),"
Drama, Romance            ",7.4,"
Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties.","
            
    Stars:
Katherine Heigl, 
Sarah Chalke, 
Ben Lawson, 
Ali Skovbye
",16674,,
Manhunt,(II) (2017– ),"
Biography, Crime, Drama            ",8.1,"
An in-depth look at how an FBI profiler helped track down the terrorist Ted Kaczynski, the Unabomber.","
            
    Stars:
Gethin Anthony, 
Arliss Howard, 
Kelly Jenrette, 
Cameron Britton
",54164,60,
Kingdom,(2014–2017),"
Drama            ",8.5,"
A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.","
            
    Stars:
Frank Grillo, 
Kiele Sanchez, 
Matt Lauria, 
Jonathan Tucker
",16565,43,
Wet Hot American Summer: First Day of Camp,-2015,"
Comedy            ",7.4,"
Follows the counselors and campers on their first day at Camp Firewood in the summer of 1981.","
            
    Stars:
Marguerite Moreau, 
Zak Orth, 
Paul Rudd, 
Michael Showalter
",22906,30,
Rebecca,(I) (2020),"
Drama, Mystery, Romance            ",6,"
A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.","
    Director:
Ben Wheatley
| 
    Stars:
Lily James, 
Armie Hammer, 
Kristin Scott Thomas, 
Keeley Hawes
",35836,123,
Master of None,(2015– ),"
Comedy, Drama            ",8.3,"
The personal and professional life of Dev, a 30-year-old actor in New York.","
            
    Stars:
Aziz Ansari, 
Eric Wareheim, 
Lena Waithe, 
Noël Wells
",70472,30,
The Stranger,(I) (2020),"
Crime, Drama, Mystery            ",7.3,"
Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.","
            
    Stars:
Richard Armitage, 
Shaun Dooley, 
Siobhan Finneran, 
Jacob Dudman
",38697,363,
Contact,-1997,"
Drama, Mystery, Sci-Fi            ",7.5,"
Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.","
    Director:
Robert Zemeckis
| 
    Stars:
Jodie Foster, 
Matthew McConaughey, 
Tom Skerritt, 
John Hurt
",261289,150,$100.92M
The Kissing Booth,-2018,"
Comedy, Romance            ",6,"
A high school student is forced to confront her secret crush at a kissing booth.","
    Director:
Vince Marcello
| 
    Stars:
Joey King, 
Jacob Elordi, 
Joel Courtney, 
Megan du Plessis
",72207,105,
Top Boy,(2011– ),"
Crime, Drama, Thriller            ",8.4,"
Two London drug dealers ply their lucrative trade at a public housing estate in East London.","
            
    Stars:
Ashley Walters, 
Kano, 
Shone Romulus, 
Micheal Ward
",14832,60,
Climax,(I) (2018),"
Drama, Horror, Music            ",7,"
French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.","
    Director:
Gaspar Noé
| 
    Stars:
Sofia Boutella, 
Romain Guillermic, 
Souheila Yacoub, 
Kiddy Smile
",58051,97,$0.80M
Vivo,(I) (2021),"
Animation, Adventure, Comedy            ",7.3,"
Vivo, Sony Pictures Animation's first-ever musical adventure featuring all-new original songs from Lin-Manuel Miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation.","
    Directors:
Kirk DeMicco, 
Brandon Jeffords
| 
    Stars:
Lin-Manuel Miranda, 
Ynairaly Simo, 
Zoe Saldana, 
Juan de Marcos González
",27,95,
